case,group,stage,report,from,to,model,risk_percent,settings_json,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
current-dynamic5020,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-current-dynamic5020.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500001"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
current-original-be1,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-current-original-be1.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500002"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpUseDynamicTrailingSL"":""false"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13410.53,3410.53,34.11,1.65,55.83,6.06,120,9.57,4.98,98%,2.18,6.32
no-management,baseline,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-no-management.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpUseDynamicTrailingSL"":""false"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500003"",""InpTrailStartAtR"":""0"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13441.59,3441.59,34.42,1.57,49.17,5.84,120,8.66,5.13,98%,2.1,6.22
rr-050,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-050.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500004"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""0.50"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,10945.43,945.43,9.45,1.3,73.33,5.26,120,9.71,1.75,98%,1.35,2.15
rr-075,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-075.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500005"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""0.75"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,11536.26,1536.26,15.36,1.43,70.0,5.3,120,11.5,2.82,98%,1.84,3.04
rr-100,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-100.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500006"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""1.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,11311.58,1311.58,13.12,1.3,61.67,8.15,120,7.3,1.5,98%,1.34,1.61
rr-150,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-150.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500007"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""1.50"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,11736.62,1736.62,17.37,1.36,55.83,7.62,120,7.35,2.12,98%,1.48,2.41
rr-200,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-200.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500008"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""2.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,12106.78,2106.78,21.07,1.42,55.83,6.44,120,7.29,2.93,98%,1.61,3.46
rr-250,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-250.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500009"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""2.50"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
rr-300,reward-risk,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-rr-300.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500010"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpRewardRisk"":""3.00"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13067.61,3067.61,30.68,1.6,55.83,6.69,120,8.37,4.11,98%,1.97,4.6
