CaseId,EaId,Label,Symbol,Period,Variant,SessionValue,Dynamic,Stage,From,To,Model,Report,session,period_text,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report
asia-xau__current,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__current.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,12576.09,2576.09,25.760900000000003,6546.37,-3970.28,1.65,775.18,5.87,758.56,5.74,66,28,38,42.42,-13.81,-84.13999999999999,21.428051727474937,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__current.htm
asia-xau__dynamic-only,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__dynamic-only.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,13138.24,3138.24,31.3824,7356.22,-4217.98,1.74,728.99,5.75,652.29,4.83,73,34,39,46.58,-15.93,-68.61,27.518210679358624,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__dynamic-only.htm
asia-xau__session-overlap,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,session-overlap,4,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__session-overlap.htm,overlap,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,13283.18,3283.18,32.8318,6555.22,-3272.04,2.0,1015.41,7.17,821.13,5.87,55,26,29,47.27,-12.600000000000003,-74.84,28.028183083359675,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__session-overlap.htm
asia-xau__session-overlap-dynamic,asia-xau,AAA Final Asia Breakout,XAUUSD,H1,session-overlap-dynamic,4,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__session-overlap-dynamic.htm,overlap,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,13072.94,3072.94,30.729400000000002,6477.54,-3404.6,1.9,936.62,6.77,787.82,5.75,61,30,31,49.18,-13.620000000000003,-64.47999999999999,26.11802331703437,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\asia-xau__session-overlap-dynamic.htm
dmc-xau__current,dmc-xau,AAA Final DmC,XAUUSD,H1,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__current.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,16270.67,6270.67,62.706700000000005,16365.65,-10094.98,1.62,1581.32,9.21,1468.03,8.6,160,80,80,50.0,-47.449999999999996,-80.93,54.08875689546576,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__current.htm
dmc-xau__dynamic-only,dmc-xau,AAA Final DmC,XAUUSD,H1,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__dynamic-only.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,14815.470000000001,4815.47,48.1547,12819.05,-8003.58,1.6,821.21,5.42,722.08,4.79,165,95,70,57.58,-45.62999999999996,-37.12,44.199721775474416,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__dynamic-only.htm
dmc-xau__session-london,dmc-xau,AAA Final DmC,XAUUSD,H1,session-london,2,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__session-london.htm,london,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,11043.21,1043.21,10.4321,3124.3,-2081.09,1.5,723.4,6.15,638.41,5.47,39,19,20,48.72,-9.660000000000005,-14.43,5.177390648648986,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__session-london.htm
dmc-xau__session-london-dynamic,dmc-xau,AAA Final DmC,XAUUSD,H1,session-london-dynamic,2,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__session-london-dynamic.htm,london,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,10821.61,821.61,8.216099999999999,2406.66,-1585.05,1.52,532.03,4.69,441.56,3.92,40,23,17,57.5,-8.920000000000002,-10.31,4.865862009149108,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\dmc-xau__session-london-dynamic.htm
ema3-xau__current,ema3-xau,AAA Final EMA3,XAUUSD,H4,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__current.htm,all,H4 (2025.09.01 - 2026.08.31),99.0,1592,100974721,10000.0,11721.630000000001,1721.63,17.2163,2986.03,-1264.4,2.36,328.73,2.83,269.43,2.25,37,24,13,64.86,-2.4800000000000013,-71.98,18.830769714225113,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__current.htm
ema3-xau__dynamic-only,ema3-xau,AAA Final EMA3,XAUUSD,H4,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__dynamic-only.htm,all,H4 (2025.09.01 - 2026.08.31),99.0,1592,100974721,10000.0,12071.25,2071.25,20.7125,3157.9,-1086.65,2.91,347.58,2.87,336.68,2.78,44,32,12,72.73,-3.100000000000002,-55.92000000000001,23.533918487100408,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__dynamic-only.htm
ema3-xau__session-london,ema3-xau,AAA Final EMA3,XAUUSD,H4,session-london,2,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__session-london.htm,london,H4 (2025.09.01 - 2026.08.31),99.0,1592,100974721,10000.0,11003.34,1003.34,10.0334,1086.88,-83.54,13.01,182.5,1.74,83.0,0.8,11,10,1,90.91,-0.7100000000000002,-21.779999999999998,23.252709755146483,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__session-london.htm
ema3-xau__session-london-dynamic,ema3-xau,AAA Final EMA3,XAUUSD,H4,session-london-dynamic,2,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__session-london-dynamic.htm,london,H4 (2025.09.01 - 2026.08.31),99.0,1592,100974721,10000.0,10639.33,639.33,6.3933,791.67,-152.34,5.2,185.96,1.79,83.0,0.8,14,12,2,85.71,-0.8900000000000003,-13.479999999999997,14.047751753524288,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\ema3-xau__session-london-dynamic.htm
engineered-btc__current,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__current.htm,all,M30 (2025.09.01 - 2026.08.31),100.0,17472,47199541,10000.0,11879.53,1879.53,18.7953,11710.68,-9831.15,1.19,2388.47,19.62,2336.16,19.21,127,37,90,29.13,-267.00999999999993,-40.88,-4.685980157259373,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__current.htm
engineered-btc__dynamic-only,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,dynamic-only,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__dynamic-only.htm,all,M30 (2025.09.01 - 2026.08.31),100.0,17472,47199541,10000.0,11262.55,1262.55,12.6255,10392.8,-9130.25,1.14,2063.87,16.99,2010.51,16.56,128,46,82,35.94,-268.78000000000003,-41.800000000000004,-7.8258304255615725,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__dynamic-only.htm
engineered-btc__session-all,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,session-all,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__session-all.htm,all,M30 (2025.09.01 - 2026.08.31),100.0,17472,47199541,10000.0,11879.53,1879.53,18.7953,11710.68,-9831.15,1.19,2388.47,19.62,2336.16,19.21,127,37,90,29.13,-267.00999999999993,-40.88,-4.685980157259373,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__session-all.htm
engineered-btc__session-all-dynamic,engineered-btc,Engineered Liquidity BTC,BTCUSD,M30,session-all-dynamic,0,True,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__session-all-dynamic.htm,all,M30 (2025.09.01 - 2026.08.31),100.0,17472,47199541,10000.0,11262.55,1262.55,12.6255,10392.8,-9130.25,1.14,2063.87,16.99,2010.51,16.56,128,46,82,35.94,-268.78000000000003,-41.800000000000004,-7.8258304255615725,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-btc__session-all-dynamic.htm
engineered-xau__current,engineered-xau,Engineered Liquidity XAU,XAUUSD,H1,current,0,False,Locked,2025.09.01,2026.08.31,0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__current.htm,all,H1 (2025.09.01 - 2026.08.31),99.0,5888,100974721,10000.0,12177.3,2177.3,21.773,8436.48,-6259.18,1.35,1765.94,13.3,1387.63,10.67,80,27,53,33.75,-38.22,-106.71000000000001,6.948627554702028,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Dynamic Trailing Session Research 2026-09-01\Backtest Reports\Locked\engineered-xau__current.htm
