case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-standard-dynamic-native,baseline,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-deployed-standard-dynamic-native.htm,2025.09.01,2026.09.01,0,1.00,10000.0,12127.17,2127.17,21.27,2.98,72.73,2.86,44,5.99,6.12,99%,3.32,6.32
deployed-safe-dynamic-native,baseline,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-deployed-safe-dynamic-native.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11971.06,1971.06,19.71,2.92,72.09,3.08,43,6.29,5.26,99%,3.23,6.22
standard-no-management,baseline,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-standard-no-management.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11594.62,1594.62,15.95,2.22,61.11,3.56,36,3.67,3.75,99%,2.37,4.41
stop-fixed-1500,stop,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-stop-fixed-1500.htm,2025.09.01,2026.09.01,0,1.00,10000.0,15139.7,5139.7,51.4,1.46,54.74,8.81,190,9.01,3.89,99%,2.41,4.2
manage-dynamic6020-only,management,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-manage-dynamic6020-only.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11956.51,1956.51,19.57,2.77,70.73,3.45,41,4.95,4.68,99%,3.01,5.52
market-btc,market,BTCUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-market-btc.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11430.62,1430.62,14.31,1.25,55.38,10.21,130,1.79,1.19,100%,1.18,1.38
combo-all-pivot-rr200,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-combo-all-pivot-rr200.htm,2025.09.01,2026.09.01,0,1.00,10000.0,11479.67,1479.67,14.8,2.25,70.45,3.97,44,4.33,3.18,99%,2.5,4.14
combo-london-pivot-rr170,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-combo-london-pivot-rr170.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10670.91,670.91,6.71,5.45,84.62,1.63,13,2.51,3.86,99%,2.75,7.47
combo-london-pivot-rr200,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-combo-london-pivot-rr200.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10588.72,588.72,5.89,3.36,76.92,2.08,13,1.7,2.63,99%,2.06,4.22
combo-london-pivot-rr400,combined-search,XAUUSD,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\Locked\ema3-locked-combo-london-pivot-rr400.htm,2025.09.01,2026.09.01,0,1.00,10000.0,10792.66,792.66,7.93,3.32,69.23,2.07,13,1.4,3.55,99%,1.68,6.9
